timestamp,ticker,strategy,return_pct,sharpe,max_drawdown_pct,win_rate_pct,total_trades,sharpe_ci_low,sharpe_ci_high,return_ci_low,return_ci_high,n_bootstrap,seed
2026-03-17T16:40:00.014019,SNAP,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:40:00.014309,SNAP,Hybrid,-30.31,-2.0928,-32.5588,0.0,6,-4.6147,0.5596,-54.3524,6.8991,1000,42
2026-03-17T16:40:12.152707,UBER,MA-Only,2.03,0.288,-7.7287,50.0,4,-2.4083,2.7013,-21.1556,28.2493,1000,42
2026-03-17T16:40:12.152987,UBER,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:40:12.153280,UBER,Hybrid,2.03,0.288,-7.7287,50.0,4,-2.4083,2.7013,-21.1556,28.2493,1000,42
2026-03-17T16:40:25.018728,BA,MA-Only,2.67,0.3594,-9.6178,50.0,4,-2.1127,2.8636,-19.507,32.6149,1000,42
2026-03-17T16:40:25.019018,BA,RL-Only,-12.33,-0.7545,-20.3753,0.0,3,-3.6179,1.5652,-38.82,26.2738,1000,42
2026-03-17T16:40:25.019307,BA,Hybrid,-12.33,-0.7545,-20.3753,0.0,3,-3.6179,1.5652,-38.82,26.2738,1000,42
2026-03-17T16:40:38.031919,DIS,MA-Only,-4.48,-0.5068,-10.0294,0.0,2,-2.4984,2.6566,-23.8239,15.8616,1000,42
2026-03-17T16:40:38.032234,DIS,RL-Only,-10.3,-0.9174,-14.8119,0.0,1,-3.4032,1.7853,-34.7221,16.3377,1000,42
2026-03-17T16:40:38.032526,DIS,Hybrid,-4.48,-0.5068,-10.0294,0.0,2,-2.4984,2.6566,-23.8239,15.8616,1000,42
2026-03-17T16:40:48.918997,PYPL,MA-Only,-15.59,-1.6497,-17.2722,0.0,4,-3.4959,0.8359,-34.8907,6.2412,1000,42
2026-03-17T16:40:48.919293,PYPL,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:40:48.919626,PYPL,Hybrid,-15.59,-1.6497,-17.2722,0.0,4,-3.4959,0.8359,-34.8907,6.2412,1000,42
2026-03-17T16:41:02.787430,INTC,MA-Only,32.85,1.0647,-29.1341,66.6667,6,-1.4362,3.3467,-45.0598,242.1334,1000,42
2026-03-17T16:41:02.788020,INTC,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:41:02.788098,INTC,Hybrid,32.85,1.0647,-29.1341,66.6667,6,-1.4362,3.3467,-45.0598,242.1334,1000,42
2026-03-17T16:41:13.960133,CRM,MA-Only,-22.66,-2.4848,-22.664,0.0,4,-4.4173,-0.0455,-42.1884,-0.8966,1000,42
2026-03-17T16:41:13.960412,CRM,RL-Only,-15.41,-0.5996,-32.9978,0.0,1,-3.16,2.0119,-52.2017,43.049,1000,42
2026-03-17T16:41:13.960709,CRM,Hybrid,-15.41,-0.5996,-32.9978,0.0,1,-3.16,2.0119,-52.2017,43.049,1000,42
2026-03-17T16:41:24.347980,BMY,MA-Only,22.43,1.7093,-7.4476,0.0,3,-1.1113,4.0838,-12.533,69.0851,1000,42
2026-03-17T16:41:24.349133,BMY,RL-Only,29.68,1.8133,-12.0233,0.0,1,-0.7139,4.2026,-11.2124,96.5882,1000,42
2026-03-17T16:41:24.349227,BMY,Hybrid,29.68,1.8133,-12.0233,0.0,1,-0.7139,4.2026,-11.2124,96.5882,1000,42
2026-03-17T16:41:34.700704,NIO,MA-Only,69.03,1.8942,-26.2096,100.0,3,-0.7113,4.2119,-22.9407,275.7983,1000,42
2026-03-17T16:41:34.700997,NIO,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:41:34.701265,NIO,Hybrid,69.03,1.8942,-26.2096,100.0,3,-0.7113,4.2119,-22.9407,275.7983,1000,42
2026-03-17T16:41:42.427987,BMY,MA-Only,22.43,1.7093,-7.4476,0.0,3,-1.1113,4.0838,-12.533,69.0851,1000,42
2026-03-17T16:41:42.428295,BMY,RL-Only,29.68,1.8133,-12.0233,0.0,1,-0.7139,4.2026,-11.2124,96.5882,1000,42
2026-03-17T16:41:42.428572,BMY,Hybrid,29.68,1.8133,-12.0233,0.0,1,-0.7139,4.2026,-11.2124,96.5882,1000,42
2026-03-17T16:41:55.439118,NIO,MA-Only,68.79,1.8896,-26.2096,100.0,3,-0.7202,4.2119,-22.9438,275.7983,1000,42
2026-03-17T16:41:55.439387,NIO,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:41:55.439701,NIO,Hybrid,68.79,1.8896,-26.2096,100.0,3,-0.7202,4.2119,-22.9438,275.7983,1000,42
2026-03-17T16:42:06.828535,BABA,MA-Only,15.92,0.85,-24.7942,50.0,4,-1.6487,3.2143,-29.777,108.613,1000,42
2026-03-17T16:42:06.828799,BABA,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:42:06.828876,BABA,Hybrid,15.92,0.85,-24.7942,50.0,4,-1.6487,3.2143,-29.777,108.613,1000,42
2026-03-17T16:42:16.425808,XOM,MA-Only,39.56,2.6948,-6.0026,0.0,1,0.1976,5.3371,1.142,93.9618,1000,42
2026-03-17T16:42:16.426140,XOM,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:42:16.426414,XOM,Hybrid,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:42:24.786426,CVX,MA-Only,20.63,2.0508,-10.0968,0.0,3,-0.5196,4.9379,-5.6602,55.0188,1000,42
2026-03-17T16:42:24.786781,CVX,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:42:24.787053,CVX,Hybrid,20.63,2.0508,-10.0968,0.0,3,-0.5196,4.9379,-5.6602,55.0188,1000,42
